Date,Close/Last,Volume,Open,High,Low
08/17/2021,66.59,218404,67.43,67.72,66.33
08/16/2021,67.29,310196,67.71,68.27,65.73
08/13/2021,68.44,250887,68.91,69.22,67.77
08/12/2021,69.09,316001,69.36,69.62,68.46
08/11/2021,69.25,479692,68.51,69.45,66.67
08/10/2021,68.29,421649,66.85,68.9,66.56
08/09/2021,66.48,558082,67.88,67.9,65.15
08/06/2021,68.28,497049,69.14,70.18,67.8
08/05/2021,69.09,397456,68.06,69.35,67.61
08/04/2021,68.15,557749,70.32,70.81,67.85
08/03/2021,70.56,486786,71.52,71.96,69.19
08/02/2021,71.26,429120,73.91,73.95,70.55
07/30/2021,73.95,283342,73.41,74.23,72.93
07/29/2021,73.62,278856,72.4,73.68,72.26
07/28/2021,72.39,304828,71.9,72.6,71.7
07/27/2021,71.65,320109,72.22,72.33,71.08
07/26/2021,71.91,355819,72.18,72.43,70.56
07/23/2021,72.07,257102,71.71,72.21,71.39
07/22/2021,71.91,417966,70.22,72.03,69.86
07/21/2021,70.3,484311,66.45,70.51,66.44
07/20/2021,67.42,16731,66.6,67.65,65.21
07/19/2021,66.42,52689,71.49,71.67,65.63
07/16/2021,71.81,113310,71.48,72.3,70.41
07/15/2021,71.65,339262,72.96,72.96,71.4
07/14/2021,73.13,487678,75.17,75.44,72.21
07/13/2021,75.25,412564,74.18,75.52,73.68
07/12/2021,74.1,360813,74.74,74.93,73.16
07/09/2021,74.56,389867,73.26,74.76,72.72
07/08/2021,72.94,495822,72.17,73.26,70.76
07/07/2021,72.2,580622,73.85,74.86,71.07
07/06/2021,73.37,688574,75.35,76.98,72.94
07/02/2021,75.16,355423,75.02,75.62,74.41
07/01/2021,75.23,595858,73.5,76.22,73.39
06/30/2021,73.47,367750,73.47,74.14,72.82
06/29/2021,72.98,309029,72.78,73.81,71.97
06/28/2021,72.91,339373,73.99,74.45,72.62
06/25/2021,74.05,345181,73.32,74.18,72.85
06/24/2021,73.3,323860,73.28,73.61,72.32
06/23/2021,73.08,408067,72.91,74.25,72.82
06/22/2021,73.06,18977,73.41,73.95,72.94
06/21/2021,73.66,84703,71.52,73.96,71.15
06/18/2021,71.64,120976,71.1,72.17,70.16
06/17/2021,71.04,354213,71.65,72.3,69.77
06/16/2021,72.15,395326,72.45,72.99,71.61
06/15/2021,72.12,307717,71.16,72.49,70.81
06/14/2021,70.88,301853,70.65,71.78,70.65
06/11/2021,70.91,519748,70.1,71.24,69.68
06/10/2021,70.29,448177,69.76,70.39,68.68
06/09/2021,69.96,370897,70.01,70.62,69.46
06/08/2021,70.05,407390,69.29,70.27,68.47
06/07/2021,69.23,332899,69.52,70,68.93
06/04/2021,69.62,307435,68.91,69.67,69.29
06/03/2021,68.81,333929,68.76,68.99,68.44
06/02/2021,68.83,316256,67.99,69,68.24
06/01/2021,67.72,551216,68,68.01,67.9
05/28/2021,66.32,369957,66.95,67.52,66.17
05/27/2021,66.85,321546,66.16,66.92,66.76
05/26/2021,66.21,356881,66.04,66.43,65.25
05/25/2021,66.07,478519,66.02,66.25,65.78
05/24/2021,66.05,435983,63.87,66.14,64.97
05/21/2021,63.58,506219,61.89,64.07,61.56
05/20/2021,62.05,17039,63.39,62.87,61.89
05/19/2021,63.36,68486,65.28,63.46,63.17
05/18/2021,65.49,140479,66.33,65.6,65.13
05/17/2021,66.27,245951,65.5,66.4,66.29
05/14/2021,65.37,356176,63.83,65.62,63.33
05/13/2021,63.82,500922,65.75,65.81,63.09
05/12/2021,66.08,465657,65.46,66.63,64.97
05/11/2021,65.28,484801,64.9,65.5,65.25
05/10/2021,64.92,411540,65.57,65.75,63.95
05/07/2021,64.9,393845,64.9,64.9,64.67
05/06/2021,64.71,369580,65.27,65.13,64.6
05/05/2021,65.63,440050,66.45,65.35,65.2
05/04/2021,65.69,327341,64.53,65.77,65.22
05/03/2021,64.49,269821,63.64,64.56,64.39
04/30/2021,63.58,380491,64.88,63.69,63.43
04/29/2021,65.01,363816,63.7,65.08,64.77
04/28/2021,63.86,366957,63.04,64.53,62.67
04/27/2021,62.94,340468,61.97,63.3,61.91
04/26/2021,61.91,354112,62.06,62.01,61.89
04/23/2021,62.14,326243,61.65,62.43,61.25
04/22/2021,61.43,331702,61.11,61.69,61.03
04/21/2021,61.35,415634,62.39,62.08,60.97
04/20/2021,62.67,463231,63.53,64.38,61.49
04/19/2021,63.38,41840,62.98,63.63,62.63
04/16/2021,63.13,75376,63.32,63.88,62.83
04/15/2021,63.46,218869,62.83,63.57,62.53
04/14/2021,63.15,375808,60.44,63.44,60.38
04/13/2021,60.18,306699,59.64,60.59,59.64
04/12/2021,59.7,372380,59.35,60.77,58.73
04/09/2021,59.32,315007,59.76,59.95,59.1
04/08/2021,59.6,387648,59.52,59.93,58.82
04/07/2021,59.77,454941,59.26,59.92,58.12
04/06/2021,59.33,435658,58.8,59.48,59.01
04/05/2021,58.65,418824,61.5,61.5,57.63
04/01/2021,61.45,577986,59.49,61.75,58.86
03/31/2021,59.16,392901,60.45,61.17,58.85
03/30/2021,60.55,372783,61.96,62.27,59.94
03/29/2021,61.56,437057,60.93,61.68,61.27
03/26/2021,60.97,452009,58.48,61.36,58.32
03/25/2021,58.56,561159,60.8,60.86,57.44
03/24/2021,61.18,549817,57.4,61.34,57.29
03/23/2021,57.76,693393,61.28,61.35,57.25
03/22/2021,61.55,18717,61.55,61.9,60.39
